domain_name,ips,updated_date
organicvalley.coop,23.92.233.199,2014-10-13 07:00:00 UTC
zenrosai-nagasaki.coop,180.222.81.63,2014-10-13 07:00:00 UTC
mustardseed.coop,76.74.254.123 192.0.80.250 192.0.81.250 66.155.9.238 66.155.11.238 76.74.254.120,2014-10-13 07:00:00 UTC
shelbywb.coop,216.163.121.59,2014-10-13 07:00:00 UTC
tidalcreek.coop,208.113.169.73,2014-10-13 07:00:00 UTC
coopdanmark.coop,185.26.230.130,2014-10-13 07:00:00 UTC
fairfield.coop,206.155.92.20,2014-10-13 07:00:00 UTC
groupedesjardins.coop,72.52.10.14,2014-10-13 07:00:00 UTC
beyondbroadband.coop,81.95.52.80,2014-10-13 07:00:00 UTC
co-operativeenterprise.coop,66.29.208.61,2014-10-13 07:00:00 UTC
centralcu.coop,67.208.90.131,2014-10-13 07:00:00 UTC
ecto.coop,69.55.229.83,2014-10-13 07:00:00 UTC
mea.coop,173.254.13.189,2014-10-13 07:00:00 UTC
abundance.coop,64.238.192.70,2014-10-13 07:00:00 UTC
cochf.coop,192.254.236.149,2014-10-13 07:00:00 UTC
kimik.coop,173.193.105.242,2014-10-13 07:00:00 UTC
icdc.coop,216.250.186.65,2014-10-13 07:00:00 UTC
icul.coop,50.73.104.160,2014-10-13 07:00:00 UTC
comradity.coop,173.193.106.12,2014-10-13 07:00:00 UTC
cooperativerental.coop,127.0.0.1,2014-10-13 07:00:00 UTC
ahec.coop,64.111.45.100,2014-10-13 07:00:00 UTC
lecooperateur.coop,216.208.69.173,2014-10-13 07:00:00 UTC
odsupport.coop,31.222.130.138,2014-10-13 07:00:00 UTC
groupefinancierd.coop,72.52.10.14,2014-10-13 07:00:00 UTC
sum.coop,162.251.80.22,2014-10-13 07:00:00 UTC
coopaccounting.coop,140.184.59.33,2014-10-13 07:00:00 UTC
greenbeltelectric.coop,50.57.28.127,2014-10-13 07:00:00 UTC
broadfork.coop,65.39.205.61,2014-10-13 07:00:00 UTC
iculeague.coop,216.146.46.11 216.146.46.10,2014-10-13 07:00:00 UTC
funeralcooperativeofottawa.coop,173.254.28.38,2014-10-13 07:00:00 UTC
llec.coop,50.57.28.127,2014-10-13 07:00:00 UTC
blackboston.coop,173.193.105.241,2014-10-13 07:00:00 UTC
ciec.coop,208.91.198.170,2014-10-13 07:00:00 UTC
fincoop.coop,,2014-10-13 07:00:00 UTC
h-delectric.coop,216.235.160.56,2014-10-13 07:00:00 UTC
coopgerminal.coop,149.62.169.35,2014-10-13 07:00:00 UTC
sommetintersalon.coop,201.76.51.228,2014-10-13 07:00:00 UTC
groupefinancierdesjardins.coop,72.52.10.14,2014-10-13 07:00:00 UTC
mon-compte-phara.coop,85.12.144.3,2014-10-13 07:00:00 UTC
pvt.coop,174.121.246.162,2014-10-13 07:00:00 UTC
tiendacoopcafam.coop,23.229.231.71,2014-10-13 07:00:00 UTC
mutualadvantage.coop,173.193.105.243,2014-10-13 07:00:00 UTC
truthaboutyouth.coop,127.0.0.1,2014-10-13 07:00:00 UTC
deltaepa.coop,,2014-10-13 07:00:00 UTC
loveyourmotor.coop,185.26.230.129,2014-10-13 07:00:00 UTC
funeralnet.coop,184.107.175.242,2014-10-13 07:00:00 UTC
beyondcare.coop,64.95.78.122,2014-10-13 07:00:00 UTC
aerarium.coop,80.92.65.212,2014-10-13 07:00:00 UTC
